"","Kingdom","Phylum","Class","Order","Family","Genus","Species","barcode01","barcode02"
"LN573504.1.1349","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured bacterium","",2,1
"LN572029.1.1335","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured bacterium",2,0
"LC416392.1.1489","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia sp.",2,0
"LC106371.1.1496","Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Pelotomaculaceae","Cryptanaerobacter","uncultured bacterium",2,0
"KY992736.1.1503","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","uncultured Rhizomicrobium sp.","",2,0
"KY984271.1.1504","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured Ktedonobacterales bacterium",2,0
"KX753034.1.1486","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",2,4
"KX752932.1.1445","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidiphilium","uncultured bacterium",2,4
"KX509178.1.1494","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","uncultured bacterium",2,0
"KT342857.7981.9515","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured bacterium 5G12","",2,0
"KM978280.1.1548","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus","uncultured Firmicutes bacterium",2,0
"KM200564.1.1499","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured bacterium",2,4
"KM200466.1.1461","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidisphaera","uncultured bacterium",2,3
"KM200431.1.1472","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured planctomycete","",2,1
"KJ650771.1.1482","Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256","uncultured Acidimicrobiales bacterium","","",2,4
"KJ600879.1.1477","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured bacterium",2,0
"KJ567103.1.1517","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus mycoides",2,0
