#OTU ID	barcode01	barcode02
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_8	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_80	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_81	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_82	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_83	2	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_84	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_85	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_86	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_87	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_88	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_89	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_9	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_90	2	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_91	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_92	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_93	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_94	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_95	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_96	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_97	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_98	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_99	0	1
