#OTU ID	barcode01	barcode02
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_6	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_60	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_61	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_62	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_63	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_64	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_65	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_66	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_67	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_68	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_69	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_7	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_70	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_71	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_72	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_73	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_74	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_75	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_76	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_77	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_78	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_79	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_8	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_80	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_81	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_82	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_83	2	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_84	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_85	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_86	1	0
